### microbiome_species-statistics_count-Hospital-A.csv

taxonomy,species_dectect_patient_number,total_patient_num,SamplingSite,prevalency_percentage
s__Eubacterium_sulci,3,86,Hospital-B,3.488372093023256
s__Corynebacterium_accolens,3,86,Hospital-B,3.488372093023256
s__Klebsiella_aerogenes,3,86,Hospital-B,3.488372093023256
s__Actinomyces_sp_S6_Spd3,3,86,Hospital-B,3.488372093023256
s__Prevotella_bivia,2,86,Hospital-B,2.3255813953488373
s__Escherichia_coli,2,86,Hospital-B,2.3255813953488373
s__Prevotella_denticola,2,86,Hospital-B,2.3255813953488373
s__Haemophilus_parainfluenzae,2,86,Hospital-B,2.3255813953488373
s__Streptococcus_milleri,2,86,Hospital-B,2.3255813953488373
s__Streptococcus_pneumoniae,2,86,Hospital-B,2.3255813953488373
s__Lactobacillus_salivarius,2,86,Hospital-B,2.3255813953488373
s__Lactobacillus_casei_group,2,86,Hospital-B,2.3255813953488373
s__Neisseria_cinerea,2,86,Hospital-B,2.3255813953488373
s__Prevotella_salivae,2,86,Hospital-B,2.3255813953488373
s__Lactobacillus_rhamnosus,2,86,Hospital-B,2.3255813953488373
s__Burkholderia_cenocepacia,2,86,Hospital-B,2.3255813953488373
s__Tannerella_forsythia,2,86,Hospital-B,2.3255813953488373
s__Porphyromonas_sp_oral_taxon_278,2,86,Hospital-B,2.3255813953488373
s__Prevotella_oulorum,2,86,Hospital-B,2.3255813953488373
s__Candida_tropicalis,2,86,Hospital-B,2.3255813953488373
s__Neisseria_mucosa,2,86,Hospital-B,2.3255813953488373
s__Actinomyces_sp_HPA0247,2,86,Hospital-B,2.3255813953488373
s__Prevotella_veroralis,2,86,Hospital-B,2.3255813953488373
s__Actinomyces_sp_ICM47,2,86,Hospital-B,2.3255813953488373
s__Fusobacterium_periodonticum,2,86,Hospital-B,2.3255813953488373
s__Human_gammaherpesvirus_4,1,86,Hospital-B,1.162790697674419
s__Bifidobacterium_dentium,1,86,Hospital-B,1.1627906976744187
s__Prevotella_multiformis,1,86,Hospital-B,1.1627906976744187
s__Neisseria_lactamica,1,86,Hospital-B,1.1627906976744187
s__Parascardovia_denticolens,1,86,Hospital-B,1.1627906976744187
s__Eubacterium_nodatum,1,86,Hospital-B,1.1627906976744187
s__Actinomyces_sp_oral_taxon_448,1,86,Hospital-B,1.1627906976744187
s__Oribacterium_parvum,1,86,Hospital-B,1.1627906976744187
s__Cupriavidus_gilardii,1,86,Hospital-B,1.1627906976744187
s__Enterobacter_cloacae_complex,1,86,Hospital-B,1.1627906976744187
s__Peptoniphilus_harei,1,86,Hospital-B,1.1627906976744187
s__Tropheryma_whipplei,1,86,Hospital-B,1.1627906976744187
s__Prevotella_scopos,1,86,Hospital-B,1.1627906976744187
s__Neisseria_sp_HMSC064E01,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_sp_HMSC067H01,1,86,Hospital-B,1.1627906976744187
s__Atopobium_sp_oral_taxon_199,1,86,Hospital-B,1.1627906976744187
s__Alloprevotella_rava,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_pyogenes,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_sp_A12,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_australis,1,86,Hospital-B,1.1627906976744187
s__Mogibacterium_timidum,1,86,Hospital-B,1.1627906976744187
s__Eubacterium_brachy,1,86,Hospital-B,1.1627906976744187
s__Peptoanaerobacter_stomatis,1,86,Hospital-B,1.1627906976744187
s__Oribacterium_sp_oral_taxon_078,1,86,Hospital-B,1.1627906976744187
s__Prevotella_baroniae,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_sobrinus,1,86,Hospital-B,1.1627906976744187
s__Aggregatibacter_segnis,1,86,Hospital-B,1.1627906976744187
s__Prevotella_pleuritidis,1,86,Hospital-B,1.1627906976744187
s__Actinomyces_oris,1,86,Hospital-B,1.1627906976744187
s__Anaeroglobus_geminatus,1,86,Hospital-B,1.1627906976744187
s__Staphylococcus_haemolyticus,1,86,Hospital-B,1.1627906976744187
s__Achromobacter_xylosoxidans,1,86,Hospital-B,1.1627906976744187
s__Lactobacillus_mucosae,1,86,Hospital-B,1.1627906976744187
s__Prevotella_oralis,1,86,Hospital-B,1.1627906976744187
s__Bacteroides_heparinolyticus,1,86,Hospital-B,1.1627906976744187
s__Bulleidia_extructa,1,86,Hospital-B,1.1627906976744187
s__Tetrasphaera_remsis,1,86,Hospital-B,1.1627906976744187
s__Veillonella_dispar,1,86,Hospital-B,1.1627906976744187
s__Capnocytophaga_gingivalis,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_cristatus,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_sp_UMB1385,1,86,Hospital-B,1.1627906976744187
s__Corynebacterium_pseudogenitalium,1,86,Hospital-B,1.1627906976744187
s__Acetobacter_aceti,1,86,Hospital-B,1.1627906976744187
s__Bordetella_genomosp_2,1,86,Hospital-B,1.1627906976744187
s__Haemophilus_aegyptius,1,86,Hospital-B,1.1627906976744187
s__Corynebacterium_amycolatum,1,86,Hospital-B,1.1627906976744187
s__Citrobacter_koseri,1,86,Hospital-B,1.1627906976744187
s__Lactobacillus_oris,1,86,Hospital-B,1.1627906976744187
s__Alloscardovia_omnicolens,1,86,Hospital-B,1.1627906976744187
s__Prevotella_histicola,1,86,Hospital-B,1.1627906976744187
s__Campylobacter_showae,1,86,Hospital-B,1.1627906976744187
s__Fusobacterium_hwasookii,1,86,Hospital-B,1.1627906976744187
s__Bacteroides_thetaiotaomicron,1,86,Hospital-B,1.1627906976744187
s__Cryptobacterium_curtum,1,86,Hospital-B,1.1627906976744187
s__Filifactor_alocis,1,86,Hospital-B,1.1627906976744187
s__Campylobacter_gracilis,1,86,Hospital-B,1.1627906976744187
s__Corynebacterium_simulans,1,86,Hospital-B,1.1627906976744187
s__Streptococcus_sp_HPH0090,1,86,Hospital-B,1.1627906976744187
s__Prevotella_sp_oral_taxon_299,1,86,Hospital-B,1.1627906976744187
s__Neisseria_macacae,1,86,Hospital-B,1.1627906976744187
s__Prevotella_sp_F0091,1,86,Hospital-B,1.1627906976744187
s__Parvimonas_sp_oral_taxon_110,1,86,Hospital-B,1.1627906976744187
s__Sphingomonas_paucimobilis,1,86,Hospital-B,1.1627906976744187
s__Ralstonia_pickettii,1,86,Hospital-B,1.1627906976744187
s__Haemophilus_haemolyticus,0,86,Hospital-B,0.0

### microbiome_species-statistics_count-Hospital-C.csv

taxonomy,species_dectect_patient_number,total_patient_num,SamplingSite,prevalency_percentage
s__Acinetobacter_baumannii,39,51,Hospital-C,76.47058823529412
s__Corynebacterium_striatum,27,51,Hospital-C,52.94117647058824
s__Klebsiella_pneumoniae,19,51,Hospital-C,37.254901960784316
s__Acinetobacter_nosocomialis,17,51,Hospital-C,33.33333333333333
s__Stenotrophomonas_maltophilia,14,51,Hospital-C,27.450980392156865
s__Pseudomonas_aeruginosa_group,12,51,Hospital-C,23.52941176470588
s__Elizabethkingia_anophelis,12,51,Hospital-C,23.52941176470588
s__Klebsiella_variicola,11,51,Hospital-C,21.568627450980394
s__Human_alphaherpesvirus_1,10,51,Hospital-C,19.607843137254903
s__Streptococcus_oralis,9,51,Hospital-C,17.647058823529413
s__Klebsiella_quasipneumoniae,9,51,Hospital-C,17.647058823529413
s__Staphylococcus_aureus,6,51,Hospital-C,11.76470588235294
s__Streptococcus_mitis,4,51,Hospital-C,7.8431372549019605
s__Parvimonas_micra,4,51,Hospital-C,7.8431372549019605
s__Achromobacter_xylosoxidans,4,51,Hospital-C,7.8431372549019605
s__Enterococcus_faecium,4,51,Hospital-C,7.8431372549019605
s__Actinobaculum_sp_oral_taxon_183,4,51,Hospital-C,7.8431372549019605
s__Pseudomonas_geniculata,4,51,Hospital-C,7.8431372549019605
s__Nesterenkonia_sp_PF2B19,4,51,Hospital-C,7.8431372549019605
s__Corynebacterium_jeikeium,3,51,Hospital-C,5.88235294117647
s__Abiotrophia_sp_HMSC24B09,3,51,Hospital-C,5.88235294117647
s__Propionibacterium_acidifaciens,3,51,Hospital-C,5.88235294117647
s__Abiotrophia_defectiva,3,51,Hospital-C,5.88235294117647
s__Lautropia_mirabilis,2,51,Hospital-C,3.9215686274509802
s__Actinomyces_sp_HPA0247,2,51,Hospital-C,3.9215686274509802
s__Delftia_acidovorans,2,51,Hospital-C,3.9215686274509802
s__Chryseobacterium_indologenes,2,51,Hospital-C,3.9215686274509802
s__Burkholderia_cenocepacia,2,51,Hospital-C,3.9215686274509802
s__Actinomyces_odontolyticus,2,51,Hospital-C,3.9215686274509802
s__Candida_albicans,2,51,Hospital-C,3.9215686274509802
s__Enterococcus_faecalis,2,51,Hospital-C,3.9215686274509802
s__Ralstonia_mannitolilytica,2,51,Hospital-C,3.9215686274509802
s__Granulicatella_elegans,2,51,Hospital-C,3.9215686274509802
s__Streptococcus_parasanguinis,2,51,Hospital-C,3.9215686274509802
s__Atopobium_parvulum,2,51,Hospital-C,3.9215686274509802
s__Actinomyces_sp_oral_taxon_180,2,51,Hospital-C,3.9215686274509802
s__Fusobacterium_nucleatum,2,51,Hospital-C,3.9215686274509802
s__Olsenella_uli,2,51,Hospital-C,3.9215686274509802
s__Haemophilus_haemolyticus,2,51,Hospital-C,3.9215686274509802
s__Streptococcus_anginosus_group,2,51,Hospital-C,3.9215686274509802
s__Bacteroides_heparinolyticus,2,51,Hospital-C,3.9215686274509802
s__Human_betaherpesvirus_5,2,51,Hospital-C,3.92156862745098
s__Stenotrophomonas_pavanii,1,51,Hospital-C,1.9607843137254901
s__Dialister_pneumosintes,1,51,Hospital-C,1.9607843137254901
s__Lactobacillus_casei_group,1,51,Hospital-C,1.9607843137254901
s__Acinetobacter_ursingii,1,51,Hospital-C,1.9607843137254901
s__Campylobacter_rectus,1,51,Hospital-C,1.9607843137254901
s__Corynebacterium_accolens,1,51,Hospital-C,1.9607843137254901
s__Gemella_haemolysans,1,51,Hospital-C,1.9607843137254901
s__Elizabethkingia_miricola,1,51,Hospital-C,1.9607843137254901
s__Staphylococcus_haemolyticus,1,51,Hospital-C,1.9607843137254901
s__Porphyromonas_endodontalis,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_urogenitalis,1,51,Hospital-C,1.9607843137254901
s__Anaerococcus_prevotii,1,51,Hospital-C,1.9607843137254901
s__Porphyromonas_somerae,1,51,Hospital-C,1.9607843137254901
s__Solobacterium_moorei,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_sp_oral_taxon_181,1,51,Hospital-C,1.9607843137254901
s__Tannerella_forsythia,1,51,Hospital-C,1.9607843137254901
s__Capnocytophaga_ochracea,1,51,Hospital-C,1.9607843137254901
s__Bacteroidetes_oral_taxon_274,1,51,Hospital-C,1.9607843137254901
s__Bacteroides_fragilis,1,51,Hospital-C,1.9607843137254901
s__Acetobacter_aceti,1,51,Hospital-C,1.9607843137254901
s__Prevotella_oris,1,51,Hospital-C,1.9607843137254901
s__Streptococcus_infantis,1,51,Hospital-C,1.9607843137254901
s__Streptococcus_sp_A12,1,51,Hospital-C,1.9607843137254901
s__Burkholderia_multivorans,1,51,Hospital-C,1.9607843137254901
s__Corynebacterium_amycolatum,1,51,Hospital-C,1.9607843137254901
s__Bifidobacterium_dentium,1,51,Hospital-C,1.9607843137254901
s__Tannerella_sp_oral_taxon_808,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_sp_oral_taxon_448,1,51,Hospital-C,1.9607843137254901
s__Atopobium_rimae,1,51,Hospital-C,1.9607843137254901
s__Streptococcus_thermophilus,1,51,Hospital-C,1.9607843137254901
s__Enterococcus_casseliflavus,1,51,Hospital-C,1.9607843137254901
s__Lactococcus_lactis,1,51,Hospital-C,1.9607843137254901
s__Lactobacillus_delbrueckii,1,51,Hospital-C,1.9607843137254901
s__Lactobacillus_amylovorus,1,51,Hospital-C,1.9607843137254901
s__Oribacterium_sp_oral_taxon_078,1,51,Hospital-C,1.9607843137254901
s__Ralstonia_pickettii,1,51,Hospital-C,1.9607843137254901
s__Escherichia_coli,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_hongkongensis,1,51,Hospital-C,1.9607843137254901
s__Haemophilus_influenzae,1,51,Hospital-C,1.9607843137254901
s__Eubacterium_nodatum,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_georgiae,1,51,Hospital-C,1.9607843137254901
s__Corynebacterium_matruchotii,1,51,Hospital-C,1.9607843137254901
s__Eubacterium_brachy,1,51,Hospital-C,1.9607843137254901
s__Rothia_mucilaginosa,1,51,Hospital-C,1.9607843137254901
s__Streptococcus_sanguinis,1,51,Hospital-C,1.9607843137254901
s__Streptococcus_gordonii,1,51,Hospital-C,1.9607843137254901
s__Aeromonas_hydrophila,1,51,Hospital-C,1.9607843137254901
s__Staphylococcus_epidermidis,1,51,Hospital-C,1.9607843137254901
s__Actinomyces_meyeri,1,51,Hospital-C,1.9607843137254901
s__Human_gammaherpesvirus_4,1,51,Hospital-C,1.96078431372549
