### acinetobacter-recombinations-consensus_blocks_all.csv
sequence,software,gene_type,start_position,stop_position,cds_length,patientid,y_start,y_end,coordinates
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P156,16,17,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P156,16,17,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P156,16,17,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P156,16,17,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P156,16,17,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P156,16,17,556491
SEQUENCE,GUBBINS,CDS,3919059,3954852,35793,P105,15,16,3936955.5
SEQUENCE,GUBBINS,CDS,2776257,2784291,8034,P105,15,16,2780274
SEQUENCE,GUBBINS,CDS,3025462,3056815,31353,P105,15,16,3041138.5
SEQUENCE,GUBBINS,CDS,2925211,2937402,12191,P105,15,16,2931306.5
SEQUENCE,GUBBINS,CDS,3002374,3004854,2480,P105,15,16,3003614
SEQUENCE,GUBBINS,CDS,2759868,2760733,865,P105,15,16,2760300.5
SEQUENCE,GUBBINS,CDS,1321906,1322056,150,P105,15,16,1321981
SEQUENCE,GUBBINS,CDS,1289560,1289680,120,P105,15,16,1289620
SEQUENCE,GUBBINS,CDS,2995348,2995372,24,P105,15,16,2995360
SEQUENCE,GUBBINS,CDS,2982455,2982823,368,P105,15,16,2982639
SEQUENCE,GUBBINS,CDS,556487,556495,8,P105,15,16,556491
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P144,14,15,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P144,14,15,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P144,14,15,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P144,14,15,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P144,14,15,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P144,14,15,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P144,14,15,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P144,14,15,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P118,13,14,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P118,13,14,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P118,13,14,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P118,13,14,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P118,13,14,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P118,13,14,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P118,13,14,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P118,13,14,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P113,12,13,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P113,12,13,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P113,12,13,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P113,12,13,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P113,12,13,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P113,12,13,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P113,12,13,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P113,12,13,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P130,11,12,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P130,11,12,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P130,11,12,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P130,11,12,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P130,11,12,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P130,11,12,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P130,11,12,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P130,11,12,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P157,10,11,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P157,10,11,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P157,10,11,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P157,10,11,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P157,10,11,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P157,10,11,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P157,10,11,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P157,10,11,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P26,9,10,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P26,9,10,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P26,9,10,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P26,9,10,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P26,9,10,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P26,9,10,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P26,9,10,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P26,9,10,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P23,8,9,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P23,8,9,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P23,8,9,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P23,8,9,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P23,8,9,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P23,8,9,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P23,8,9,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P23,8,9,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P112,7,8,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P112,7,8,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P112,7,8,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P112,7,8,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P112,7,8,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P112,7,8,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P112,7,8,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P112,7,8,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P52,6,7,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P52,6,7,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P52,6,7,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P52,6,7,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P52,6,7,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P52,6,7,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P52,6,7,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P52,6,7,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P25,5,6,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P25,5,6,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P25,5,6,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P25,5,6,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P25,5,6,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P25,5,6,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P25,5,6,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P25,5,6,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P77,4,5,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P77,4,5,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P77,4,5,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P77,4,5,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P77,4,5,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P77,4,5,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P77,4,5,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P77,4,5,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P146,3,4,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P146,3,4,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P146,3,4,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P146,3,4,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P146,3,4,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P146,3,4,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P146,3,4,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P146,3,4,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P136,2,3,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P136,2,3,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P136,2,3,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P136,2,3,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P136,2,3,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P136,2,3,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P136,2,3,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P136,2,3,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P143,1,2,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P143,1,2,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P143,1,2,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P143,1,2,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P143,1,2,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P143,1,2,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P143,1,2,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P143,1,2,1284796
SEQUENCE,GUBBINS,CDS,3929648,3956203,26555,P123,0,1,3942925.5
SEQUENCE,GUBBINS,CDS,3030125,3055454,25329,P123,0,1,3042789.5
SEQUENCE,GUBBINS,CDS,2922580,2932499,9919,P123,0,1,2927539.5
SEQUENCE,GUBBINS,CDS,1321926,1322625,699,P123,0,1,1322275.5
SEQUENCE,GUBBINS,CDS,3002062,3004861,2799,P123,0,1,3003461.5
SEQUENCE,GUBBINS,CDS,2981721,2982823,1102,P123,0,1,2982272
SEQUENCE,GUBBINS,CDS,2776686,2781494,4808,P123,0,1,2779090
SEQUENCE,GUBBINS,CDS,1284792,1284800,8,P123,0,1,1284796

### all_patients-acinetobacter.pi

CHROM	BIN_START	BIN_END	N_VARIANTS	PI
NZ_CP050916.1	1	10000	114	0.00120078
NZ_CP050916.1	10001	20000	36	0.000420894
NZ_CP050916.1	20001	30000	17	0.000261495
NZ_CP050916.1	30001	40000	14	0.000131167
NZ_CP050916.1	40001	50000	23	0.000245842
NZ_CP050916.1	50001	60000	30	0.000359748
NZ_CP050916.1	60001	70000	20	0.000237247
NZ_CP050916.1	70001	80000	21	0.000265339
NZ_CP050916.1	80001	90000	24	0.000392593
NZ_CP050916.1	90001	100000	15	0.000110622
NZ_CP050916.1	100001	110000	22	0.000207128
NZ_CP050916.1	110001	120000	29	0.000200419
NZ_CP050916.1	120001	130000	19	0.000182601
NZ_CP050916.1	130001	140000	18	0.000254228
NZ_CP050916.1	140001	150000	25	0.000262753
NZ_CP050916.1	150001	160000	18	0.000169532
NZ_CP050916.1	160001	170000	27	0.000239623
NZ_CP050916.1	170001	180000	22	0.000456477
NZ_CP050916.1	180001	190000	13	0.00014689
NZ_CP050916.1	190001	200000	43	0.000472327
NZ_CP050916.1	200001	210000	21	0.000260867
NZ_CP050916.1	210001	220000	34	0.000355206
NZ_CP050916.1	220001	230000	16	0.000125926
NZ_CP050916.1	230001	240000	34	0.000763405
NZ_CP050916.1	240001	250000	26	0.000353322
NZ_CP050916.1	250001	260000	20	0.000389308
NZ_CP050916.1	260001	270000	21	0.000164361
NZ_CP050916.1	270001	280000	33	0.000447379
NZ_CP050916.1	280001	290000	31	0.000333892
NZ_CP050916.1	290001	300000	27	0.000315514
NZ_CP050916.1	300001	310000	22	0.000232006
NZ_CP050916.1	310001	320000	28	0.000243396
NZ_CP050916.1	320001	330000	12	9.67156e-05
NZ_CP050916.1	330001	340000	18	0.000177918
NZ_CP050916.1	340001	350000	33	0.000352131
NZ_CP050916.1	350001	360000	18	0.000153669
NZ_CP050916.1	360001	370000	20	0.000245632
NZ_CP050916.1	370001	380000	12	0.000173096
NZ_CP050916.1	380001	390000	18	0.000152131
NZ_CP050916.1	390001	400000	29	0.000328931
NZ_CP050916.1	400001	410000	32	0.000346331
NZ_CP050916.1	410001	420000	18	0.000210971
NZ_CP050916.1	420001	430000	21	0.000231377
NZ_CP050916.1	430001	440000	27	0.000272187
NZ_CP050916.1	440001	450000	14	7.99441e-05
NZ_CP050916.1	450001	460000	35	0.000450874
NZ_CP050916.1	460001	470000	22	0.000248777
NZ_CP050916.1	470001	480000	21	0.000256953
NZ_CP050916.1	480001	490000	24	0.000207198
NZ_CP050916.1	490001	500000	12	0.000249266
NZ_CP050916.1	500001	510000	14	0.000107338
NZ_CP050916.1	510001	520000	31	0.000306918
NZ_CP050916.1	520001	530000	33	0.000404682
NZ_CP050916.1	530001	540000	20	0.000315584
NZ_CP050916.1	540001	550000	34	0.000432984
NZ_CP050916.1	550001	560000	38	0.000489205
NZ_CP050916.1	560001	570000	31	0.000495017
NZ_CP050916.1	570001	580000	24	0.000347379
NZ_CP050916.1	580001	590000	29	0.000443955
NZ_CP050916.1	590001	600000	37	0.000257792
NZ_CP050916.1	600001	610000	31	0.000331866
NZ_CP050916.1	610001	620000	23	0.000343047
NZ_CP050916.1	620001	630000	18	0.000144654
NZ_CP050916.1	630001	640000	28	0.000292173
NZ_CP050916.1	640001	650000	17	0.000290706
NZ_CP050916.1	650001	660000	30	0.000290636
NZ_CP050916.1	660001	670000	28	0.000160936
NZ_CP050916.1	670001	680000	37	0.00052369
NZ_CP050916.1	680001	690000	27	0.000174773
NZ_CP050916.1	690001	700000	24	0.000269114
NZ_CP050916.1	700001	710000	33	0.000284976
NZ_CP050916.1	710001	720000	26	0.00032914
NZ_CP050916.1	720001	730000	22	0.000342628
NZ_CP050916.1	730001	740000	26	0.000260657
NZ_CP050916.1	740001	750000	24	0.000338365
NZ_CP050916.1	750001	760000	28	0.000430328
NZ_CP050916.1	760001	770000	28	0.000528442
NZ_CP050916.1	770001	780000	19	0.000214675
NZ_CP050916.1	780001	790000	25	0.000192173
NZ_CP050916.1	790001	800000	21	0.000172607
NZ_CP050916.1	800001	810000	11	4.43047e-05
NZ_CP050916.1	810001	820000	25	0.000206219
NZ_CP050916.1	820001	830000	27	0.000237666
NZ_CP050916.1	830001	840000	17	0.000174773
NZ_CP050916.1	840001	850000	12	0.000118099
NZ_CP050916.1	850001	860000	22	0.000421663
NZ_CP050916.1	860001	870000	32	0.000497977
NZ_CP050916.1	870001	880000	26	0.000316632
NZ_CP050916.1	880001	890000	10	8.62334e-05
NZ_CP050916.1	890001	900000	17	0.000162893
NZ_CP050916.1	900001	910000	22	0.000168414
NZ_CP050916.1	910001	920000	15	0.000172397
NZ_CP050916.1	920001	930000	24	0.000208875
NZ_CP050916.1	930001	940000	32	0.000512579
NZ_CP050916.1	940001	950000	23	0.000256254
NZ_CP050916.1	950001	960000	22	0.000433194
NZ_CP050916.1	960001	970000	13	0.000194689
NZ_CP050916.1	970001	980000	32	0.00035276
NZ_CP050916.1	980001	990000	24	0.000378829
NZ_CP050916.1	990001	1000000	31	0.000319776
NZ_CP050916.1	1000001	1010000	9	5.42977e-05
NZ_CP050916.1	1010001	1020000	36	0.000353809
NZ_CP050916.1	1020001	1030000	27	0.000340531
NZ_CP050916.1	1030001	1040000	20	0.000357111
NZ_CP050916.1	1040001	1050000	33	0.000279667
NZ_CP050916.1	1050001	1060000	23	0.000287771
NZ_CP050916.1	1060001	1070000	26	0.000266597
NZ_CP050916.1	1070001	1080000	26	0.00029427
NZ_CP050916.1	1080001	1090000	26	0.000209644
NZ_CP050916.1	1090001	1100000	35	0.000468763
NZ_CP050916.1	1100001	1110000	34	0.000453549
NZ_CP050916.1	1110001	1120000	33	0.000372607
NZ_CP050916.1	1120001	1130000	12	0.000293296
NZ_CP050916.1	1130001	1140000	19	0.00023529
NZ_CP050916.1	1140001	1150000	25	0.000218519
NZ_CP050916.1	1150001	1160000	21	0.000231866
NZ_CP050916.1	1160001	1170000	31	0.000367435
NZ_CP050916.1	1170001	1180000	16	0.000167994
NZ_CP050916.1	1180001	1190000	30	0.000357303
NZ_CP050916.1	1190001	1200000	20	0.000201817
NZ_CP050916.1	1200001	1210000	27	0.000340252
NZ_CP050916.1	1210001	1220000	37	0.000415723
NZ_CP050916.1	1220001	1230000	21	0.000178477
NZ_CP050916.1	1230001	1240000	27	0.000273098
NZ_CP050916.1	1240001	1250000	17	0.00020601
NZ_CP050916.1	1250001	1260000	25	0.000195737
NZ_CP050916.1	1260001	1270000	41	0.000428302
NZ_CP050916.1	1270001	1280000	45	0.000496925
NZ_CP050916.1	1280001	1290000	63	0.000598565
NZ_CP050916.1	1290001	1300000	55	0.00115658
NZ_CP050916.1	1300001	1310000	6	2.37737e-06
NZ_CP050916.1	1310001	1320000	5	1.74789e-06
NZ_CP050916.1	1320001	1330000	123	0.00257558
NZ_CP050916.1	1330001	1340000	9	7.91055e-05
NZ_CP050916.1	1340001	1350000	42	0.000399671
NZ_CP050916.1	1350001	1360000	59	0.000599092
NZ_CP050916.1	1360001	1370000	39	0.000382153
NZ_CP050916.1	1370001	1380000	25	0.000110816
NZ_CP050916.1	1380001	1390000	28	0.000100362
NZ_CP050916.1	1390001	1400000	25	0.00020295
NZ_CP050916.1	1400001	1410000	25	0.000371631
NZ_CP050916.1	1410001	1420000	24	0.00026471
NZ_CP050916.1	1420001	1430000	19	0.000197694
NZ_CP050916.1	1430001	1440000	34	0.000352411
NZ_CP050916.1	1440001	1450000	25	0.000144514
NZ_CP050916.1	1450001	1460000	27	0.000221174
NZ_CP050916.1	1460001	1470000	21	0.000138574
NZ_CP050916.1	1470001	1480000	25	0.000220266
NZ_CP050916.1	1480001	1490000	28	0.000381834
NZ_CP050916.1	1490001	1500000	12	7.26765e-05
NZ_CP050916.1	1500001	1510000	33	0.000620545
NZ_CP050916.1	1510001	1520000	19	0.000139623
NZ_CP050916.1	1520001	1530000	26	0.000335782
NZ_CP050916.1	1530001	1540000	44	0.000406289
NZ_CP050916.1	1540001	1550000	33	0.000439724
NZ_CP050916.1	1550001	1560000	25	0.000197694
NZ_CP050916.1	1560001	1570000	16	0.000130748
NZ_CP050916.1	1570001	1580000	29	0.000348917
NZ_CP050916.1	1580001	1590000	32	0.00042516
NZ_CP050916.1	1590001	1600000	24	0.000155625
NZ_CP050916.1	1600001	1610000	40	0.000489168
NZ_CP050916.1	1610001	1620000	35	0.000339623
NZ_CP050916.1	1620001	1630000	32	0.000198812
NZ_CP050916.1	1630001	1640000	26	0.00041167
NZ_CP050916.1	1640001	1650000	38	0.000270304
NZ_CP050916.1	1650001	1660000	36	0.000330473
NZ_CP050916.1	1660001	1670000	23	0.000347729
NZ_CP050916.1	1670001	1680000	36	0.000573864
NZ_CP050916.1	1680001	1690000	34	0.000328232
NZ_CP050916.1	1690001	1700000	24	0.000421733
NZ_CP050916.1	1700001	1710000	31	0.000275681
NZ_CP050916.1	1710001	1720000	26	0.000437247
NZ_CP050916.1	1720001	1730000	8	4.36059e-05
NZ_CP050916.1	1730001	1740000	30	0.00022942
NZ_CP050916.1	1740001	1750000	27	0.000223061
NZ_CP050916.1	1750001	1760000	27	0.000165618
NZ_CP050916.1	1760001	1770000	20	0.000160727
NZ_CP050916.1	1770001	1780000	33	0.000192243
NZ_CP050916.1	1780001	1790000	14	0.000208665
NZ_CP050916.1	1790001	1800000	35	0.000509655
NZ_CP050916.1	1800001	1810000	29	0.00034724
NZ_CP050916.1	1810001	1820000	20	0.000163033
NZ_CP050916.1	1820001	1830000	25	0.000244584
NZ_CP050916.1	1830001	1840000	21	0.000309786
NZ_CP050916.1	1840001	1850000	17	0.000192453
NZ_CP050916.1	1850001	1860000	21	0.000130119
NZ_CP050916.1	1860001	1870000	21	0.000200978
NZ_CP050916.1	1870001	1880000	27	0.000236967
NZ_CP050916.1	1880001	1890000	28	0.000215514
NZ_CP050916.1	1890001	1900000	33	0.000310901
NZ_CP050916.1	1900001	1910000	35	0.000243326
NZ_CP050916.1	1910001	1920000	19	0.00016332
NZ_CP050916.1	1920001	1930000	24	0.000149831
NZ_CP050916.1	1930001	1940000	34	0.000469186
NZ_CP050916.1	1940001	1950000	43	0.000506359
NZ_CP050916.1	1950001	1960000	26	0.000175052
NZ_CP050916.1	1960001	1970000	13	0.000174008
NZ_CP050916.1	1970001	1980000	48	0.000321506
NZ_CP050916.1	1980001	1990000	29	0.000317191
NZ_CP050916.1	1990001	2000000	20	0.000109294
NZ_CP050916.1	2000001	2010000	32	0.000327324
NZ_CP050916.1	2010001	2020000	28	0.000260098
NZ_CP050916.1	2020001	2030000	49	0.000727441
NZ_CP050916.1	2030001	2040000	31	0.000425741
NZ_CP050916.1	2040001	2050000	24	0.000215933
NZ_CP050916.1	2050001	2060000	22	0.000274284
NZ_CP050916.1	2060001	2070000	6	2.93501e-05
